FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,93466703,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,30/08/2019,1964
Autistica - Work: Self Confidence,120,37419497,Not confident at all,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,30/08/2019,1965
Autistica - Work: Self Confidence,120,35358065,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,30/08/2019,1966
Autistica - Work: Self Confidence,120,86131995,Not confident at all,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,30/08/2019,1967
Autistica - Work: Self Confidence,120,57180656,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,30/08/2019,1968
Autistica - Work: Self Confidence,120,62929404,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,30/08/2019,1969
Autistica - Work: Self Confidence,120,30901982,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,30/08/2019,1970
Autistica - Work: Self Confidence,120,93085379,Not confident at all,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,30/08/2019,1971
Autistica - Work: Self Confidence,120,77431644,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,30/08/2019,1972
Autistica - Work: Self Confidence,120,67013133,Completely confident,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,30/08/2019,1973
Autistica - Work: Self Confidence,120,13838301,Not confident at all,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,30/08/2019,1974
Autistica - Work: Self Confidence,120,66718298,Completely confident,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,30/08/2019,1975
Autistica - Work: Self Confidence,120,24641611,Completely confident,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,30/08/2019,1976
Autistica - Work: Self Confidence,120,67388864,Completely confident,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,30/08/2019,1977
Autistica - Work: Self Confidence,120,25055544,Not confident at all,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,30/08/2019,1978
Autistica - Work: Self Confidence,120,24503298,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,30/08/2019,1979
Autistica - Work: Self Confidence,120,43928283,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,30/08/2019,1980
Autistica - Work: Self Confidence,120,19630284,Not confident at all,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,30/08/2019,1981
Autistica - Work: Self Confidence,120,87042105,Not confident at all,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,30/08/2019,1982
Autistica - Work: Self Confidence,120,71593024,Completely confident,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,30/08/2019,1983
Autistica - Work: Self Confidence,120,31866214,Completely confident,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,30/08/2019,1984
Autistica - Work: Self Confidence,120,97162166,Completely confident,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,30/08/2019,1985
Autistica - Work: Self Confidence,120,41273901,Not confident at all,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,30/08/2019,1986
Autistica - Work: Self Confidence,120,43440948,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,30/08/2019,1987
Autistica - Work: Self Confidence,120,77705205,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,30/08/2019,1988
Autistica - Work: Self Confidence,120,58358243,Not confident at all,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,30/08/2019,1989
Autistica - Work: Self Confidence,120,47815963,Completely confident,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,30/08/2019,1990
Autistica - Work: Self Confidence,120,69828639,Not confident at all,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,30/08/2019,1991
Autistica - Work: Self Confidence,120,38868666,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,30/08/2019,1992
Autistica - Work: Self Confidence,120,72888018,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,30/08/2019,1993
Autistica - Work: Self Confidence,120,43522829,Completely confident,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,30/08/2019,1994
Autistica - Work: Self Confidence,120,41811454,Not confident at all,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,30/08/2019,1995
Autistica - Work: Self Confidence,120,40690745,Completely confident,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,30/08/2019,1996
Autistica - Work: Self Confidence,120,25057429,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,30/08/2019,1997
Autistica - Work: Self Confidence,120,39249976,Not confident at all,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,30/08/2019,1998
Autistica - Work: Self Confidence,120,63410382,Not confident at all,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,30/08/2019,1999
Autistica - Work: Self Confidence,120,61657100,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,30/08/2019,2000
Autistica - Work: Self Confidence,120,22222222,Not confident at all,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,01/09/2019,2001
Autistica - Work: Self Confidence,120,11111111,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/09/2019,2002
Autistica - Work: Self Confidence,120,12077101,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,01/09/2019,2003
Autistica - Work: Self Confidence,120,38961843,Completely confident,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,01/09/2019,2004
Autistica - Work: Self Confidence,120,67611589,Not confident at all,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,01/09/2019,2005
Autistica - Work: Self Confidence,120,32500162,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,01/09/2019,2006
Autistica - Work: Self Confidence,120,90705766,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,01/09/2019,2007
